blur_kernel_px,projected_tag_side_px,detected_count,width_px,height_px,distance_over_tag_size,scale_factor,image
0,140.0,8,960,720,7.5,0.5,ratio_s0p5_r7p500.png
3,140.0,8,960,720,7.5,0.5,ratio_s0p5_r7p500.png
7,140.0,8,960,720,7.5,0.5,ratio_s0p5_r7p500.png
11,140.0,8,960,720,7.5,0.5,ratio_s0p5_r7p500.png
15,140.0,8,960,720,7.5,0.5,ratio_s0p5_r7p500.png
0,58.333333333333336,8,400,300,7.5,0.5,ratio_s0p5_r7p500.png
3,58.333333333333336,8,400,300,7.5,0.5,ratio_s0p5_r7p500.png
7,58.333333333333336,8,400,300,7.5,0.5,ratio_s0p5_r7p500.png
11,58.333333333333336,3,400,300,7.5,0.5,ratio_s0p5_r7p500.png
15,58.333333333333336,0,400,300,7.5,0.5,ratio_s0p5_r7p500.png
0,43.75,8,300,225,7.5,0.5,ratio_s0p5_r7p500.png
3,43.75,8,300,225,7.5,0.5,ratio_s0p5_r7p500.png
7,43.75,6,300,225,7.5,0.5,ratio_s0p5_r7p500.png
11,43.75,0,300,225,7.5,0.5,ratio_s0p5_r7p500.png
15,43.75,0,300,225,7.5,0.5,ratio_s0p5_r7p500.png
0,29.166666666666668,6,200,150,7.5,0.5,ratio_s0p5_r7p500.png
3,29.166666666666668,5,200,150,7.5,0.5,ratio_s0p5_r7p500.png
7,29.166666666666668,0,200,150,7.5,0.5,ratio_s0p5_r7p500.png
11,29.166666666666668,0,200,150,7.5,0.5,ratio_s0p5_r7p500.png
15,29.166666666666668,0,200,150,7.5,0.5,ratio_s0p5_r7p500.png
0,21.875,8,150,112,7.5,0.5,ratio_s0p5_r7p500.png
3,21.875,6,150,112,7.5,0.5,ratio_s0p5_r7p500.png
7,21.875,0,150,112,7.5,0.5,ratio_s0p5_r7p500.png
11,21.875,0,150,112,7.5,0.5,ratio_s0p5_r7p500.png
15,21.875,0,150,112,7.5,0.5,ratio_s0p5_r7p500.png
0,14.583333333333334,0,100,75,7.5,0.5,ratio_s0p5_r7p500.png
3,14.583333333333334,0,100,75,7.5,0.5,ratio_s0p5_r7p500.png
7,14.583333333333334,0,100,75,7.5,0.5,ratio_s0p5_r7p500.png
11,14.583333333333334,0,100,75,7.5,0.5,ratio_s0p5_r7p500.png
15,14.583333333333334,0,100,75,7.5,0.5,ratio_s0p5_r7p500.png
0,105.0,24,960,720,10.0,0.5,ratio_s0p5_r10p000.png
3,105.0,24,960,720,10.0,0.5,ratio_s0p5_r10p000.png
7,105.0,24,960,720,10.0,0.5,ratio_s0p5_r10p000.png
11,105.0,24,960,720,10.0,0.5,ratio_s0p5_r10p000.png
15,105.0,23,960,720,10.0,0.5,ratio_s0p5_r10p000.png
0,43.75,24,400,300,10.0,0.5,ratio_s0p5_r10p000.png
3,43.75,24,400,300,10.0,0.5,ratio_s0p5_r10p000.png
7,43.75,19,400,300,10.0,0.5,ratio_s0p5_r10p000.png
11,43.75,0,400,300,10.0,0.5,ratio_s0p5_r10p000.png
15,43.75,0,400,300,10.0,0.5,ratio_s0p5_r10p000.png
0,32.8125,24,300,225,10.0,0.5,ratio_s0p5_r10p000.png
3,32.8125,23,300,225,10.0,0.5,ratio_s0p5_r10p000.png
7,32.8125,0,300,225,10.0,0.5,ratio_s0p5_r10p000.png
11,32.8125,0,300,225,10.0,0.5,ratio_s0p5_r10p000.png
15,32.8125,0,300,225,10.0,0.5,ratio_s0p5_r10p000.png
0,21.875,20,200,150,10.0,0.5,ratio_s0p5_r10p000.png
3,21.875,16,200,150,10.0,0.5,ratio_s0p5_r10p000.png
7,21.875,0,200,150,10.0,0.5,ratio_s0p5_r10p000.png
11,21.875,0,200,150,10.0,0.5,ratio_s0p5_r10p000.png
15,21.875,0,200,150,10.0,0.5,ratio_s0p5_r10p000.png
0,16.40625,1,150,112,10.0,0.5,ratio_s0p5_r10p000.png
3,16.40625,0,150,112,10.0,0.5,ratio_s0p5_r10p000.png
7,16.40625,0,150,112,10.0,0.5,ratio_s0p5_r10p000.png
11,16.40625,0,150,112,10.0,0.5,ratio_s0p5_r10p000.png
15,16.40625,0,150,112,10.0,0.5,ratio_s0p5_r10p000.png
0,10.9375,0,100,75,10.0,0.5,ratio_s0p5_r10p000.png
3,10.9375,0,100,75,10.0,0.5,ratio_s0p5_r10p000.png
7,10.9375,0,100,75,10.0,0.5,ratio_s0p5_r10p000.png
11,10.9375,0,100,75,10.0,0.5,ratio_s0p5_r10p000.png
15,10.9375,0,100,75,10.0,0.5,ratio_s0p5_r10p000.png
0,78.75000196875006,36,960,720,13.333333,0.5,ratio_s0p5_r13p333.png
3,78.75000196875006,36,960,720,13.333333,0.5,ratio_s0p5_r13p333.png
7,78.75000196875006,36,960,720,13.333333,0.5,ratio_s0p5_r13p333.png
11,78.75000196875006,32,960,720,13.333333,0.5,ratio_s0p5_r13p333.png
15,78.75000196875006,14,960,720,13.333333,0.5,ratio_s0p5_r13p333.png
0,32.81250082031252,36,400,300,13.333333,0.5,ratio_s0p5_r13p333.png
3,32.81250082031252,34,400,300,13.333333,0.5,ratio_s0p5_r13p333.png
7,32.81250082031252,0,400,300,13.333333,0.5,ratio_s0p5_r13p333.png
11,32.81250082031252,0,400,300,13.333333,0.5,ratio_s0p5_r13p333.png
15,32.81250082031252,0,400,300,13.333333,0.5,ratio_s0p5_r13p333.png
0,24.60937561523439,18,300,225,13.333333,0.5,ratio_s0p5_r13p333.png
3,24.60937561523439,13,300,225,13.333333,0.5,ratio_s0p5_r13p333.png
7,24.60937561523439,0,300,225,13.333333,0.5,ratio_s0p5_r13p333.png
11,24.60937561523439,0,300,225,13.333333,0.5,ratio_s0p5_r13p333.png
15,24.60937561523439,0,300,225,13.333333,0.5,ratio_s0p5_r13p333.png
0,16.40625041015626,16,200,150,13.333333,0.5,ratio_s0p5_r13p333.png
3,16.40625041015626,4,200,150,13.333333,0.5,ratio_s0p5_r13p333.png
7,16.40625041015626,0,200,150,13.333333,0.5,ratio_s0p5_r13p333.png
11,16.40625041015626,0,200,150,13.333333,0.5,ratio_s0p5_r13p333.png
15,16.40625041015626,0,200,150,13.333333,0.5,ratio_s0p5_r13p333.png
0,12.304687807617196,1,150,112,13.333333,0.5,ratio_s0p5_r13p333.png
3,12.304687807617196,0,150,112,13.333333,0.5,ratio_s0p5_r13p333.png
7,12.304687807617196,0,150,112,13.333333,0.5,ratio_s0p5_r13p333.png
11,12.304687807617196,0,150,112,13.333333,0.5,ratio_s0p5_r13p333.png
15,12.304687807617196,0,150,112,13.333333,0.5,ratio_s0p5_r13p333.png
0,8.20312520507813,0,100,75,13.333333,0.5,ratio_s0p5_r13p333.png
3,8.20312520507813,0,100,75,13.333333,0.5,ratio_s0p5_r13p333.png
7,8.20312520507813,0,100,75,13.333333,0.5,ratio_s0p5_r13p333.png
11,8.20312520507813,0,100,75,13.333333,0.5,ratio_s0p5_r13p333.png
15,8.20312520507813,0,100,75,13.333333,0.5,ratio_s0p5_r13p333.png
0,70.0,36,960,720,15.0,0.5,ratio_s0p5_r15p000.png
3,70.0,36,960,720,15.0,0.5,ratio_s0p5_r15p000.png
7,70.0,36,960,720,15.0,0.5,ratio_s0p5_r15p000.png
11,70.0,32,960,720,15.0,0.5,ratio_s0p5_r15p000.png
15,70.0,0,960,720,15.0,0.5,ratio_s0p5_r15p000.png
0,29.166666666666668,26,400,300,15.0,0.5,ratio_s0p5_r15p000.png
3,29.166666666666668,21,400,300,15.0,0.5,ratio_s0p5_r15p000.png
7,29.166666666666668,0,400,300,15.0,0.5,ratio_s0p5_r15p000.png
11,29.166666666666668,0,400,300,15.0,0.5,ratio_s0p5_r15p000.png
15,29.166666666666668,0,400,300,15.0,0.5,ratio_s0p5_r15p000.png
0,21.875,20,300,225,15.0,0.5,ratio_s0p5_r15p000.png
3,21.875,11,300,225,15.0,0.5,ratio_s0p5_r15p000.png
7,21.875,0,300,225,15.0,0.5,ratio_s0p5_r15p000.png
11,21.875,0,300,225,15.0,0.5,ratio_s0p5_r15p000.png
15,21.875,0,300,225,15.0,0.5,ratio_s0p5_r15p000.png
0,14.583333333333334,0,200,150,15.0,0.5,ratio_s0p5_r15p000.png
3,14.583333333333334,0,200,150,15.0,0.5,ratio_s0p5_r15p000.png
7,14.583333333333334,0,200,150,15.0,0.5,ratio_s0p5_r15p000.png
11,14.583333333333334,0,200,150,15.0,0.5,ratio_s0p5_r15p000.png
15,14.583333333333334,0,200,150,15.0,0.5,ratio_s0p5_r15p000.png
0,10.9375,0,150,112,15.0,0.5,ratio_s0p5_r15p000.png
3,10.9375,0,150,112,15.0,0.5,ratio_s0p5_r15p000.png
7,10.9375,0,150,112,15.0,0.5,ratio_s0p5_r15p000.png
11,10.9375,0,150,112,15.0,0.5,ratio_s0p5_r15p000.png
15,10.9375,0,150,112,15.0,0.5,ratio_s0p5_r15p000.png
0,7.291666666666667,0,100,75,15.0,0.5,ratio_s0p5_r15p000.png
3,7.291666666666667,0,100,75,15.0,0.5,ratio_s0p5_r15p000.png
7,7.291666666666667,0,100,75,15.0,0.5,ratio_s0p5_r15p000.png
11,7.291666666666667,0,100,75,15.0,0.5,ratio_s0p5_r15p000.png
15,7.291666666666667,0,100,75,15.0,0.5,ratio_s0p5_r15p000.png
0,62.999998740000024,36,960,720,16.666667,0.5,ratio_s0p5_r16p667.png
3,62.999998740000024,36,960,720,16.666667,0.5,ratio_s0p5_r16p667.png
7,62.999998740000024,34,960,720,16.666667,0.5,ratio_s0p5_r16p667.png
11,62.999998740000024,19,960,720,16.666667,0.5,ratio_s0p5_r16p667.png
15,62.999998740000024,0,960,720,16.666667,0.5,ratio_s0p5_r16p667.png
0,26.24999947500001,25,400,300,16.666667,0.5,ratio_s0p5_r16p667.png
3,26.24999947500001,16,400,300,16.666667,0.5,ratio_s0p5_r16p667.png
7,26.24999947500001,0,400,300,16.666667,0.5,ratio_s0p5_r16p667.png
11,26.24999947500001,0,400,300,16.666667,0.5,ratio_s0p5_r16p667.png
15,26.24999947500001,0,400,300,16.666667,0.5,ratio_s0p5_r16p667.png
0,19.687499606250007,3,300,225,16.666667,0.5,ratio_s0p5_r16p667.png
3,19.687499606250007,3,300,225,16.666667,0.5,ratio_s0p5_r16p667.png
7,19.687499606250007,0,300,225,16.666667,0.5,ratio_s0p5_r16p667.png
11,19.687499606250007,0,300,225,16.666667,0.5,ratio_s0p5_r16p667.png
15,19.687499606250007,0,300,225,16.666667,0.5,ratio_s0p5_r16p667.png
0,13.124999737500005,0,200,150,16.666667,0.5,ratio_s0p5_r16p667.png
3,13.124999737500005,0,200,150,16.666667,0.5,ratio_s0p5_r16p667.png
7,13.124999737500005,0,200,150,16.666667,0.5,ratio_s0p5_r16p667.png
11,13.124999737500005,0,200,150,16.666667,0.5,ratio_s0p5_r16p667.png
15,13.124999737500005,0,200,150,16.666667,0.5,ratio_s0p5_r16p667.png
0,9.843749803125004,0,150,112,16.666667,0.5,ratio_s0p5_r16p667.png
3,9.843749803125004,0,150,112,16.666667,0.5,ratio_s0p5_r16p667.png
7,9.843749803125004,0,150,112,16.666667,0.5,ratio_s0p5_r16p667.png
11,9.843749803125004,0,150,112,16.666667,0.5,ratio_s0p5_r16p667.png
15,9.843749803125004,0,150,112,16.666667,0.5,ratio_s0p5_r16p667.png
0,6.5624998687500025,0,100,75,16.666667,0.5,ratio_s0p5_r16p667.png
3,6.5624998687500025,0,100,75,16.666667,0.5,ratio_s0p5_r16p667.png
7,6.5624998687500025,0,100,75,16.666667,0.5,ratio_s0p5_r16p667.png
11,6.5624998687500025,0,100,75,16.666667,0.5,ratio_s0p5_r16p667.png
15,6.5624998687500025,0,100,75,16.666667,0.5,ratio_s0p5_r16p667.png
0,50.400000806400016,36,960,720,20.833333,0.5,ratio_s0p5_r20p833.png
3,50.400000806400016,36,960,720,20.833333,0.5,ratio_s0p5_r20p833.png
7,50.400000806400016,28,960,720,20.833333,0.5,ratio_s0p5_r20p833.png
11,50.400000806400016,0,960,720,20.833333,0.5,ratio_s0p5_r20p833.png
