image,scale_factor,board_size_m,tag_size_m,distance_m,distance_over_tag_size,render_width_px,render_height_px,camera_x_m,camera_y_m,camera_z_m,camera_rot_x_rad,camera_rot_y_rad,camera_rot_z_rad,fx_px,fy_px,cx_px,cy_px,width_px,height_px,detected_count,detected_ids,annotated_image
ratio_s0p5_r16p667.png,0.5,0.3048,0.03,0.5000000099999999,16.666667,960,720,0.0,0.0,0.5,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,400,300,25,0 1 2 3 5 8 9 12 13 14 15 17 18 19 20 21 22 23 24 26 30 31 32 33 35,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r16p667_s0p5_w400.png
ratio_s0p5_r16p667.png,0.5,0.3048,0.03,0.5000000099999999,16.666667,960,720,0.0,0.0,0.5,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,300,225,3,8 10 11,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r16p667_s0p5_w300.png
ratio_s0p5_r16p667.png,0.5,0.3048,0.03,0.5000000099999999,16.666667,960,720,0.0,0.0,0.5,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,200,150,0,,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r16p667_s0p5_w200.png
ratio_s0p5_r16p667.png,0.5,0.3048,0.03,0.5000000099999999,16.666667,960,720,0.0,0.0,0.5,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,150,112,0,,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r16p667_s0p5_w150.png
ratio_s0p5_r16p667.png,0.5,0.3048,0.03,0.5000000099999999,16.666667,960,720,0.0,0.0,0.5,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,100,75,0,,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r16p667_s0p5_w100.png
ratio_s0p5_r20p833.png,0.5,0.3048,0.03,0.62499999,20.833333,960,720,0.0,0.0,0.625,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,960,720,36,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r20p833_s0p5_w960.png
ratio_s0p5_r20p833.png,0.5,0.3048,0.03,0.62499999,20.833333,960,720,0.0,0.0,0.625,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,400,300,14,0 1 2 4 7 8 10 12 13 14 16 24 26 28,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r20p833_s0p5_w400.png
ratio_s0p5_r20p833.png,0.5,0.3048,0.03,0.62499999,20.833333,960,720,0.0,0.0,0.625,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,300,225,9,2 3 8 9 26 27 32 33 35,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r20p833_s0p5_w300.png
ratio_s0p5_r20p833.png,0.5,0.3048,0.03,0.62499999,20.833333,960,720,0.0,0.0,0.625,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,200,150,0,,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r20p833_s0p5_w200.png
ratio_s0p5_r20p833.png,0.5,0.3048,0.03,0.62499999,20.833333,960,720,0.0,0.0,0.625,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0,150,112,0,,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\ratio_scale\annotated\ratio_r20p833_s0p5_w150.png
